Zeitstempel,Marktstatus,SPY_mark,Cash,Depotwert,Benchmark,Positionen
2026-07-30 15:16 ET,OFFEN,742.17,9044.31,9214.53,9886.11,LONG ALLE@156.77 / LONG DLR@192.77 / LONG HON@240.38 / LONG T@23.24 / LONG PKG@248.08 / LONG SW@47.47 / LONG TRMB@56.81 / LONG ACN@163.01 / LONG GRMN@292.65
2026-07-30 17:01 ET,NACH-SCHLUSS,729.46,9044.31,9217.13,9716.81,LONG ALLE@158.47 / LONG DLR@188.18 / LONG HON@241.12 / LONG T@23.94 / LONG PKG@249.43 / LONG SW@48.26 / LONG TRMB@58.24 / LONG ACN@173.17 / LONG GRMN@294.83
2026-07-31 11:15 ET,OFFEN,742.25,7733.32,9208.61,9887.18,LONG DLR@190.62 / LONG PKG@244.65 / LONG SW@45.57 / LONG TRMB@56.07 / LONG ACN@161.77 / LONG GRMN@293.70 / LONG NOW@109.44 / SHORT MU@839.65 / LONG CTSH@53.62 / LONG BAX@26.32 / LONG CMG@37.52 / SHORT LII@421.14
2026-07-31 13:24 ET,OFFEN,745.69,6525.77,9227.60,9932.96,LONG DLR@190.35 / LONG PKG@246.25 / LONG SW@45.88 / LONG TRMB@56.91 / LONG ACN@165.84 / LONG GRMN@295.13 / LONG NOW@111.10 / LONG CTSH@55.05 / LONG BAX@26.16 / SHORT LII@421.79 / LONG WTW@334.41 / LONG CRM@183.51 / LONG MSFT@463.23 / LONG FIS@44.74
2026-07-31 15:16 ET,OFFEN,746.52,6525.77,9233.51,9944.05,LONG DLR@189.56 / LONG PKG@246.07 / LONG SW@45.95 / LONG TRMB@56.65 / LONG ACN@165.73 / LONG GRMN@297.10 / LONG NOW@111.11 / LONG CTSH@55.34 / LONG BAX@26.24 / SHORT LII@420.02 / LONG WTW@335.79 / LONG CRM@183.48 / LONG MSFT@462.65 / LONG FIS@44.89
2026-07-31 16:58 ET,NACH-SCHLUSS,742.17,6525.77,9198.22,9886.11,LONG DLR@190.62 / LONG PKG@244.65 / LONG SW@45.59 / LONG TRMB@56.10 / LONG ACN@161.90 / LONG GRMN@293.70 / LONG NOW@109.35 / LONG CTSH@53.66 / LONG BAX@26.33 / SHORT LII@421.14 / LONG WTW@334.41 / LONG CRM@181.10 / LONG MSFT@455.21 / LONG FIS@44.82
2026-07-31 18:08 ET,NACH-SCHLUSS,742.17,6525.77,9198.22,9886.11,LONG DLR@190.62 / LONG PKG@244.65 / LONG SW@45.59 / LONG TRMB@56.10 / LONG ACN@161.90 / LONG GRMN@293.70 / LONG NOW@109.35 / LONG CTSH@53.66 / LONG BAX@26.33 / SHORT LII@421.14 / LONG WTW@334.41 / LONG CRM@181.10 / LONG MSFT@455.21 / LONG FIS@44.82
2026-08-03 11:40 ET,OFFEN,755.65,6945.18,9284.12,10065.67,LONG TRMB@57.55 / LONG GRMN@300.89 / LONG WTW@339.22 / LONG MSFT@487.60 / LONG CHTR@148.27 / LONG ZBRA@291.58
2026-08-03 13:46 ET,OFFEN,757.48,6166.15,9271.09,10090.05,LONG TRMB@57.31 / LONG GRMN@301.90 / LONG WTW@340.46 / LONG MSFT@488.86 / LONG CHTR@143.62 / LONG ZBRA@289.95 / LONG AMZN@284.25 / LONG ORCL@140.01
2026-08-03 15:23 ET,OFFEN,758.33,6166.15,9290.18,10101.37,LONG TRMB@57.64 / LONG GRMN@303.24 / LONG WTW@341.88 / LONG MSFT@489.71 / LONG CHTR@144.96 / LONG ZBRA@293.11 / LONG AMZN@284.26 / LONG ORCL@141.84
2026-08-03 16:57 ET,NACH-SCHLUSS,755.56,6166.15,9278.22,10064.47,LONG TRMB@57.54 / LONG GRMN@300.89 / LONG WTW@339.42 / LONG MSFT@487.48 / LONG CHTR@148.27 / LONG ZBRA@291.58 / LONG AMZN@285.78 / LONG ORCL@137.38
2026-08-03 18:10 ET,NACH-SCHLUSS,755.56,6166.15,9278.22,10064.47,LONG TRMB@57.54 / LONG GRMN@300.89 / LONG WTW@339.42 / LONG MSFT@487.48 / LONG CHTR@148.27 / LONG ZBRA@291.58 / LONG AMZN@285.78 / LONG ORCL@137.38
2026-08-04 11:21 ET,OFFEN,767.41,-6.17,9366.38,10222.32,LONG TRMB@58.64 / LONG GRMN@302.18 / LONG WTW@339.60 / LONG MSFT@498.55 / LONG CHTR@146.00 / LONG ZBRA@348.36 / LONG AMZN@276.83 / LONG ORCL@144.03 / LONG FSLR@233.67 / LONG GOOGL@376.46 / LONG GOOG@373.95 / LONG CRWD@209.96 / LONG DXCM@87.07 / LONG CMG@37.15
